"start","end","radiations"
1592132400,1592136000,468.56
1592136000,1592139600,650.88
1592139600,1592143200,695.92
1592143200,1592146800,790
1592146800,1592150400,544.48
1592150400,1592154000,403.04
1592154000,1592157600,331.52
1592157600,1592161200,310.64
1592161200,1592164800,245.04
1592164800,1592168400,120.48
1592168400,1592172000,53.84
1592172000,1592175600,20.0533333333333
1592175600,1592179200,0
1592179200,1592182800,0
1592182800,1592186400,0
1592186400,1592190000,0
1592190000,1592193600,0.56
1592193600,1592197200,9.76
1592197200,1592200800,24.24
1592200800,1592204400,52.72
1592204400,1592208000,143.92
1592208000,1592211600,203.92
1592211600,1592215200,213.36
1592215200,1592218800,304.8
1592218800,1592222400,453.2
1592222400,1592226000,308.48
1592226000,1592229600,350.72
1592229600,1592233200,413.68
1592233200,1592236800,388.32
1592236800,1592240400,180.32
1592240400,1592244000,196.4
1592244000,1592247600,168.32
1592247600,1592251200,78.96
1592251200,1592254800,66
1592254800,1592258400,34.8
1592258400,1592262000,6.18666666666667
1592262000,1592265600,0
1592265600,1592269200,0
1592269200,1592272800,0
1592272800,1592276400,0
1592276400,1592280000,0.8
1592280000,1592283600,33.92
1592283600,1592287200,75.28
1592287200,1592290800,130.96
1592290800,1592294400,212.8
1592294400,1592298000,386.08
1592298000,1592301600,490.32
1592301600,1592305200,642.16
1592305200,1592308800,495.28
1592308800,1592312400,760.48
1592312400,1592316000,781.04
1592316000,1592319600,865.68
1592319600,1592323200,574.64
1592323200,1592326800,569.84
1592326800,1592330400,395.44
1592330400,1592334000,377.04
1592334000,1592337600,292.24
1592337600,1592341200,161.52
1592341200,1592344800,29.44
1592344800,1592348400,20.8
1592348400,1592352000,0
1592352000,1592355600,0
1592355600,1592359200,0
1592359200,1592362800,0
1592362800,1592366400,0.96
1592366400,1592370000,24.64
1592370000,1592373600,63.04
1592373600,1592377200,144.8
1592377200,1592380800,192.56
1592380800,1592384400,303.44
1592384400,1592388000,396.88
1592388000,1592391600,522
1592391600,1592395200,427.12
1592395200,1592398800,508.16
1592398800,1592402400,627.92
1592402400,1592406000,762.08
1592406000,1592409600,524.16
1592409600,1592413200,375.28
