timestamp,z0.6_y0.0_x0.0,z0.6_y0.0_x0.25,z0.6_y0.0_x0.5,z0.6_y0.0_x0.8,z0.4_y0.0_x0.0,z0.4_y0.0_x0.25,z0.4_y0.0_x0.5,z0.4_y0.0_x0.8,z0.2_y0.0_x0.0,z0.2_y0.0_x0.25,z0.2_y0.0_x0.5,z0.2_y0.0_x0.8
1631862000,-507.63594565110003,-258.7233598236,-392.2974425856,-572.1690584316001,-23.7254312604,-127.9965337311,-586.2616025511,-87.13550991,-21.6164720124,-30.767540951100006,-220.9341584775,-719.6813864751
1631865600,-482.8928283504,-256.1597660271,-391.93075148160005,-569.5713656255999,-23.3899494375,-130.78932039,-584.7864775536,-97.64244464309999,-21.6164720124,-30.767540951100006,-219.8572622364,-716.0810387150999
1631869200,-485.52018231,-254.2948291551,-392.2974425856,-568.4513946830999,-23.3899494375,-132.8714742396,-584.4288279024,-107.09233239,-21.9040876656,-31.0548519975,-219.5294832975,-712.8304101975
1631872800,-485.52018231,-251.68320306389998,-392.2974425856,-566.9727786684,-23.3899494375,-134.6219780391,-583.6687659111,-117.52719375,-21.9040876656,-30.767540951100006,-218.5460683356,-709.97392764
1631876400,-484.7954843196,-249.4440029775,-391.93075148160005,-565.8524223159,-23.1023832231,-135.6626456319,-582.9086271036,-126.2446530876,-21.9040876656,-30.767540951100006,-217.89039324,-708.3913925375999
1631880000,-484.3878117975,-247.9508626959,-392.6641166784,-564.7318998384,-23.1023832231,-137.74359487590002,-582.1931321723999,-141.9512145276,-21.9040876656,-30.767540951100006,-217.89039324,-708.3913925375999
1631883600,-484.0254181479,-246.08405459189999,-392.6641166784,-566.61428271,-23.1023832231,-139.4930857116,-582.1931321723999,-156.5433474375,-22.19169375,-30.767540951100006,-216.2509775775,-705.5331650031
1631887200,-484.3878117975,-244.2168212079,-392.6641166784,-567.3312576156,-23.1023832231,-141.5730876444,-582.1931321723999,-172.47590517990002,-21.9040876656,-30.767540951100006,-215.92305537240003,-705.13732191
1631890800,-485.1578418204,-242.7227282991,-393.03077376,-567.3312576156,-23.1023832231,-142.9909757424,-582.1931321723999,-185.6514767079,-21.9040876656,-30.767540951100006,-215.59512014310002,-703.9056723803999
1631894400,-485.9277950271,-241.2283632111,-393.03077376,-567.3312576156,-22.766877212399997,-145.4008364991,-582.1931321723999,-208.04901519,-21.9040876656,-30.767540951100006,-215.26717188959998,-701.0896909403999
1631898000,-486.2900993679,-240.1074107775,-393.3974138304,-566.61428271,-22.766877212399997,-146.81807870309999,-582.5508881436,-228.0475028439,-21.9040876656,-30.4802203359,-214.9392106119,-700.2975
1631901600,-486.2900993679,-237.81832417560003,-393.03077376,-565.8524223159,-22.766877212399997,-147.8572376151,-581.4328442511,-250.19047105110002,-21.9040876656,-30.4802203359,-214.2832489839,-698.4487195644
1631905200,-486.2900993679,-236.6969060604,-393.03077376,-564.37329756,-22.4792902656,-149.22684144,-581.4328442511,-272.83201490790003,-21.9040876656,-30.4802203359,-213.6272352591,-694.7937984375
