"start","end","temperature"
1591675200,1591678800,12.355
1591678800,1591682400,13.8475
1591682400,1591686000,14.015
1591686000,1591689600,14.84
1591689600,1591693200,15.5275
1591693200,1591696800,17.25
1591696800,1591700400,18.84
1591700400,1591704000,20.78
1591704000,1591707600,21.02
1591707600,1591711200,19.96
1591711200,1591714800,20.3975
1591714800,1591718400,21.25
1591718400,1591722000,21.48
1591722000,1591725600,19.58
1591725600,1591729200,18.7025
1591729200,1591732800,17.5425
1591732800,1591736400,17.925
1591736400,1591740000,17.63
1591740000,1591743600,16.5966666666667
1591743600,1591747200,15.405
1591747200,1591750800,14.38
1591750800,1591754400,13.43
1591754400,1591758000,14.38
1591758000,1591761600,13.7675
1591761600,1591765200,13.67
1591765200,1591768800,14.4225
1591768800,1591772400,15.815
1591772400,1591776000,16.6325
1591776000,1591779600,17.7725
1591779600,1591783200,18.7225
1591783200,1591786800,20.33
1591786800,1591790400,20.2825
1591790400,1591794000,20.0175
1591794000,1591797600,21.115
1591797600,1591801200,22.0125
1591801200,1591804800,21.075
1591804800,1591808400,20.005
1591808400,1591812000,20.8825
1591812000,1591815600,20.73
1591815600,1591819200,20.6125
1591819200,1591822800,19.3
1591822800,1591826400,17.68
1591826400,1591830000,16.0266666666667
1591830000,1591833600,15.02
1591833600,1591837200,13.755
1591837200,1591840800,13.83
1591840800,1591844400,13.2325
1591844400,1591848000,13.1175
1591848000,1591851600,12.5475
1591851600,1591855200,14.15
1591855200,1591858800,15.115
1591858800,1591862400,15.3575
1591862400,1591866000,16.045
1591866000,1591869600,17.065
1591869600,1591873200,18.515
1591873200,1591876800,20.7375
1591876800,1591880400,21.47
1591880400,1591884000,20.105
1591884000,1591887600,19.005
1591887600,1591891200,19.905
1591891200,1591894800,20.55
1591894800,1591898400,19.91
1591898400,1591902000,18.79
1591902000,1591905600,17.2425
1591905600,1591909200,16.805
1591909200,1591912800,16.38
1591912800,1591916400,14.91
1591916400,1591920000,11.815
1591920000,1591923600,10.935
1591923600,1591927200,11.18
1591927200,1591930800,11.775
1591930800,1591934400,10.7675
1591934400,1591938000,10.78
1591938000,1591941600,12.785
1591941600,1591945200,14.1025
1591945200,1591948800,15.2675
1591948800,1591952400,16.5
1591952400,1591956000,18.7125
1591956000,1591959600,20.9725
1591959600,1591963200,22.8275
1591963200,1591966800,24.0525
1591966800,1591970400,24.7375
1591970400,1591974000,25.48
1591974000,1591977600,24.9125
1591977600,1591981200,25.1575
1591981200,1591984800,24.9225
1591984800,1591988400,24.59
1591988400,1591992000,22.3
1591992000,1591995600,20.625
1591995600,1591999200,19.7925
1591999200,1592002800,18.7633333333333
1592002800,1592006400,15.185
1592006400,1592010000,13.915
1592010000,1592013600,13.325
1592013600,1592017200,15.12
1592017200,1592020800,15.0125
1592020800,1592024400,14.9375
1592024400,1592028000,16.0525
1592028000,1592031600,17.4175
1592031600,1592035200,18.715
1592035200,1592038800,20.035
1592038800,1592042400,21.6825
1592042400,1592046000,23.3325
1592046000,1592049600,24.8625
1592049600,1592053200,25.9375
1592053200,1592056800,26.455
1592056800,1592060400,26.8225
1592060400,1592064000,27.165
1592064000,1592067600,27.0625
1592067600,1592071200,26.055
1592071200,1592074800,25.065
1592074800,1592078400,23.6575
1592078400,1592082000,21.875
1592082000,1592085600,20.44
1592085600,1592089200,18.4566666666667
1592089200,1592092800,15.24
1592092800,1592096400,14.04
1592096400,1592100000,14.2
1592100000,1592103600,16.03
1592103600,1592107200,14.715
1592107200,1592110800,13.6975
1592110800,1592114400,15.35
1592114400,1592118000,17.4125
1592118000,1592121600,17.4525
1592121600,1592125200,17.69
1592125200,1592128800,19.565
1592128800,1592132400,21.4825
1592132400,1592136000,22.46
1592136000,1592139600,22.9875
1592139600,1592143200,23.29
1592143200,1592146800,24.3
1592146800,1592150400,25.085
1592150400,1592154000,24.7875
1592154000,1592157600,24.2575
1592157600,1592161200,23.385
1592161200,1592164800,22.735
1592164800,1592168400,21.3325
1592168400,1592172000,20.5575
1592172000,1592175600,18.0433333333333
1592175600,1592179200,15.965
1592179200,1592182800,16.67
1592182800,1592186400,17.625
1592186400,1592190000,16.37
1592190000,1592193600,16.2375
1592193600,1592197200,16.405
1592197200,1592200800,17.3825
1592200800,1592204400,18.0625
1592204400,1592208000,18.8275
1592208000,1592211600,19.5825
1592211600,1592215200,20.26
1592215200,1592218800,21.845
1592218800,1592222400,22.7925
1592222400,1592226000,22.935
1592226000,1592229600,23.1525
1592229600,1592233200,23.4675
1592233200,1592236800,23.1475
1592236800,1592240400,22.4
1592240400,1592244000,22.355
1592244000,1592247600,21.5675
1592247600,1592251200,20.825
1592251200,1592254800,20.425
1592254800,1592258400,20.02
1592258400,1592262000,18.9066666666667
1592262000,1592265600,17.535
1592265600,1592269200,17.185
1592269200,1592272800,17.04
1592272800,1592276400,17.3075
1592276400,1592280000,17.11
1592280000,1592283600,17.075
1592283600,1592287200,17.5175
1592287200,1592290800,18.29
1592290800,1592294400,19.29
1592294400,1592298000,20.22
1592298000,1592301600,20.955
1592301600,1592305200,22.6125
1592305200,1592308800,23.6225
1592308800,1592312400,24.6525
1592312400,1592316000,24.95
1592316000,1592319600,26.0175
1592319600,1592323200,25.7125
